Descricao,Codigo,RET,Validade_RET,IA
Afalon SC,,,,linurom (uréia) 450g.L⁻¹
Afalon 450 SC,,,,linurom (uréia) 450g.L⁻¹
Afalon 450 SC,,,,linurom (uréia) 450g.L⁻¹
Affinity 400 EC,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Affinity 400 EC,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Affinity 400 WP,,,,carfentrazona-etílica (triazolona) 400g/kg
Affinity 400 WP,,,,carfentrazona-etílica (triazolona) 400g/kg
Afitrix,,,,benfuracarbe (metilcarbamatode benzofuranila) 400g.L⁻¹
Afla-Guard,,,,Aspergillus flavus NRRL 21882 (biológico) 1g/kg
Agata,,,,fluazinam (fenilpiridinilamina) 500g.L⁻¹
Ag-Bem,,,,Resina sintética emulsionada 387g.L⁻¹
Agefix,,,,óleo mineral (hidrocarbonetos alifáticos) 920g.L⁻¹
Agimix,,,,atrazina (triazina) 260g.L⁻¹ + alacloro (cloroacetanilida) 260g.L⁻¹
Agimix,,,,atrazina (triazina) 260g.L⁻¹ + alacloro (cloroacetanilida) 260g.L⁻¹
Agr Óleo,,,,Oleo Vegetal (ésteres de ácidos graxos) 892g.L⁻¹
Agral,,,,
Agree,,,,Bacillus thuringiensis (biológico) 500g/kg
Agridex,,,,óleo mineral (hidrocarbonetos alifáticos) 795g.L⁻¹
Agrinose,,,,oxicloreto de cobre (inorgânico) 600g/kg
Agris,,,,óleo mineral (hidrocarbonetos alifáticos) 795g.L⁻¹
Agritoato 400,,,,dimetoato (organofosforado) 400g.L⁻¹
Agritone,,,,MCPA (ácido ariloxialcanóico) 585g.L⁻¹
Agritrin SC,,,,MCPA (ácido ariloxialcanóico) 231g.L⁻¹ + diurom (uréia) 153g.L⁻¹ + Ametrina (triazina) 153g.L⁻¹
Agritrin SC,,,,MCPA (ácido ariloxialcanóico) 231g.L⁻¹ + diurom (uréia) 153g.L⁻¹ + Ametrina (triazina) 153g.L⁻¹
Agroben 500,,,,carbendazim (benzimidazol) 500g.L⁻¹
Agro-Oil,,,,Oleo Vegetal (ésteres de ácidos graxos) 880g.L⁻¹
Aim,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Aim,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Akito,,,,Beta-Cipermetrina (piretróide) 100g.L⁻¹
Alaclor + Atrazina SC Nortox,,,,atrazina (triazina) 250g.L⁻¹ + alacloro (cloroacetanilida) 240g.L⁻¹
Alaclor Nortox,,,,alacloro (cloroacetanilida) 480g.L⁻¹
Alanex 480 EC,,,,alacloro (cloroacetanilida) 480g.L⁻¹
Alazine 500 SC,,,,atrazina (triazina) 250g.L⁻¹ + alacloro (cloroacetanilida) 250g.L⁻¹
Albatross,,,,fipronil (pirazol) 800g/kg
Alea,,,,espinosade (espinosinas) 480g.L⁻¹
Aliado 480 SL,,,,glifosato (glicina substituída) 480g.L⁻¹
Aliette,,,,fosetil (fosfonato) 800g/kg
Alika,,,,tiametoxam (neonicotinóide) 110g.L⁻¹ + cipermetrina (piretróide) 220g.L⁻¹
Alion,,,,indaziflam (não pertinente) 500g.L⁻¹
Ally,,,,metsulfurom-metílico (sulfoniluréia) 600g/kg
Alstar,,,,bifentrina (piretróide) 100g.L⁻¹
Alstar,,,,bifentrina (piretróide) 100g.L⁻¹
Alsystin SC,,,,triflumurom (benzoiluréia) 480g.L⁻¹
Alsystin WP,,,,triflumurom (benzoiluréia) 250g/kg
Alsystin 250 WP,,,,triflumurom (benzoiluréia) 250g/kg
Altacor,,,,clorantraniliprole (antranilamida) 350g/kg
Altacor BR,,,,clorantraniliprole (antranilamida) 350g/kg
Alterne,,,,tebuconazol (triazol) 200g.L⁻¹
Alteza,,,,imazetapir (imidazolinona) 20g.L⁻¹ + glifosato (glicina substituída) 177g.L⁻¹
Alteza 30,,,,imazetapir (imidazolinona) 30g.L⁻¹ + glifosato (glicina substituída) 177g.L⁻¹
Alteza 30 SL,,,,imazetapir (imidazolinona) 30g.L⁻¹ + glifosato (glicina substituída) 240g.L⁻¹
Altima,,,,fluazinam (fenilpiridinilamina) 500g.L⁻¹
Alto 100,,,,ciproconazol (triazol) 100g.L⁻¹
Ameris,,,,tebutiurom (uréia) 500g.L⁻¹
Ametista,,,,cipermetrina (piretróide) 200g.L⁻¹ + bifentrina (piretróide) 180g.L⁻¹
Ametista,,,,cipermetrina (piretróide) 200g.L⁻¹ + bifentrina (piretróide) 180g.L⁻¹
Ametrex WG,,,,Ametrina (triazina) 800g/kg
Ametrex 500 SC,,,,Ametrina (triazina) 500g.L⁻¹
Ametrina Alta 500 SC,,,,Ametrina (triazina) 500g.L⁻¹
Ametrina Atanor 50 SC,,,,Ametrina (triazina) 500g.L⁻¹
Ametron,,,,diurom (uréia) 480g/kg + Ametrina (triazina) 310g/kg
Ametron SC,,,,diurom (uréia) 240g.L⁻¹ + Ametrina (triazina) 155g.L⁻¹
Aminamar,,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
Aminol 806,,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
Amistar Top,,,,difenoconazol (triazol) 125g.L⁻¹ + azoxistrobina (estrobilurina) 200g.L⁻¹
Amistar WG,,,,azoxistrobina (estrobilurina) 500g/kg
Amistar 500 WG,,,,azoxistrobina (estrobilurina) 500g/kg
Ampligo,,,,lambda-cialotrina (piretróide) 50g.L⁻¹ + clorantraniliprole (antranilamida) 100g.L⁻¹
Amplo ,,,,imazamoxi (imidazolinona) 28g.L⁻¹ + bentazona (benzotiadiazinona) 600g.L⁻¹
Amulet,,,,fipronil (pirazol) 250g.L⁻¹
Anchor SC,,,,tiram (dimetilditiocarbamato) 66g.L⁻¹ + carboxina (carboxanilida) 66g.L⁻¹
Ancosar 720,,,,MSMA (organoarsênico) 720g.L⁻¹
Antracol 700 WP,,,,propinebe (alquilenobis(ditiocarbamato) 700g/kg
Antrimo TM,,,,teflubenzurom (benzoiluréia) 150g.L⁻¹
Apache 100 GR,,,,cadusafós (organofosforado) 100g/kg
Apache 100 GR,,,,cadusafós (organofosforado) 100g/kg
Apice,,,,epoxiconazol (triazol) 80g.L⁻¹
Apollo 500 SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Appalus 200 SC,,,,imidacloprido (neonicotinóide) 200g.L⁻¹
Applaud 250,,,,buprofezina (tiadiazinona) 250g/kg
Applicato 50 SL,,,,Cloreto de Mepiquate (amônio quaternário) 50g.L⁻¹
Aproach Prima,,,,Picoxistrobina (estrobilurina) 200g.L⁻¹ + ciproconazol (triazol) 80g.L⁻¹
Aquila,,,,acefato (organofosforado) 750g/kg
Aramo 200,,,,tepraloxidim (oxima ciclohexanodiona) 200g.L⁻¹
Arbaten,,,,prometrina (triazina) 500g.L⁻¹
Arboro,,,,saflufenacil (pirimidinadiona) 700g/kg
Arcadia,,,,tebuconazol (triazol) 125g.L⁻¹ + cresoxim-metílico (estrobilurina) 100g.L⁻¹
Arena,,,,"picloram (ácido piridinocarboxílico) 114g.L⁻¹ + 2,4-D (ácido ariloxialcanóico) 447g.L⁻¹"
Ares 250 CS,,,,lambda-cialotrina (piretróide) 250g.L⁻¹
Argenfrut RV,,,,óleo mineral (hidrocarbonetos alifáticos) 845g.L⁻¹
Arizium,,,,Metarhizium anisopliae (biológico) 48g/kg
Armigen,,,,VPN-HzSNPV (não pertinente) 404g.L⁻¹
Array 200 EC,,,,tebuconazol (triazol) 200g.L⁻¹
Arreio,,,,picloram (ácido piridinocarboxílico) 129g.L⁻¹
Arreio Pasto,,,,picloram (ácido piridinocarboxílico) 129g.L⁻¹
Arriba GR,,,,tebupirinfós (organofosforado) 10g/kg
Arrivo 200 EC,,,,cipermetrina (piretróide) 200g.L⁻¹
Arrow,,,,trifluralina (dinitroanilina) 450g.L⁻¹
Artea,,,,propiconazol (triazol) 250g.L⁻¹ + ciproconazol (triazol) 80g.L⁻¹
Artys,,,,"picloram (ácido piridinocarboxílico) 76g.L⁻¹ + 2,4-D (ácido ariloxialcanóico) 289g.L⁻¹"
Assist,,,,óleo mineral (hidrocarbonetos alifáticos) 756g.L⁻¹
Aston,,,,Éster Metilico (ésteres de ácidos graxos) 720g.L⁻¹
Astro,,,,clorpirifós (organofosforado) 450g.L⁻¹
Asulox 400,,,,asulam (sulfanililcarbamato) 400g.L⁻¹
Atabron 50 EC,,,,clorfluazurom (benzoiluréia) 50g.L⁻¹
Atectra Soy,,,,Dicamba (Ácido Benzóico) 480g.L⁻¹
Atento,,,,fluquinconazol (triazol) 167g.L⁻¹
Aterbane BR,,,,Nonil fenol etoxilado 309g.L⁻¹
Atranex WG,,,,atrazina (triazina) 900g/kg
Atranex 500 SC,,,,atrazina (triazina) 500g.L⁻¹
Atrasimex WG,,,,simazina (triazina) 450g/kg + atrazina (triazina) 450g/kg
Atrasimex 500 SC,,,,simazina (triazina) 250g.L⁻¹ + atrazina (triazina) 250g.L⁻¹
Atrazina Atanor 50 SC,,,,atrazina (triazina) 500g.L⁻¹
Atrazina Nortox 500 SC,,,,atrazina (triazina) 500g.L⁻¹
Attic,,,,iprodiona (dicarboximida) 500g.L⁻¹
Auge,,,,hidróxido de cobre (inorgânico) 537g.L⁻¹
Aura,,,,profoxidim (oxima ciclohexanodiona) 200g.L⁻¹
Aura 200,,,,profoxidim (oxima ciclohexanodiona) 200g.L⁻¹
Aureo,,,,ester Metílico de óleo de Soja  720g.L⁻¹
Aurora,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Aurora 400 EC,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Authority,,,,flutriafol (triazol) 125g.L⁻¹ + azoxistrobina (estrobilurina) 125g.L⁻¹
Aval,,,,tebutiurom (uréia) 500g.L⁻¹
Aval 100,,,,tebutiurom (uréia) 100g/kg
Aval 800,,,,tebutiurom (uréia) 800g/kg
Avatar,,,,indoxacarbe (oxadiazina) 150g.L⁻¹
Avaunt 150,,,,indoxacarbe (oxadiazina) 150g.L⁻¹
Avelex,,,,hexazinona (triazinona) 132g/kg + diurom (uréia) 468g/kg
Avguron Extra SC,,,,tidiazurom (uréia) 360g.L⁻¹ + diurom (uréia) 180g.L⁻¹
Avicta 500 FS,,,,abamectina (avermectina) 500g.L⁻¹
Axane,,,,Ciantraniliprole (antranilamida) 600g.L⁻¹
Axor,,,,profenofós (organofosforado) 500g.L⁻¹ + lufenurom (benzoiluréia) 50g.L⁻¹
Azact CE,,,,azadiractina (Tetranortriterpenóide) 2g.L⁻¹
Azamax,,,,azadiractina (Tetranortriterpenóide) 12g.L⁻¹
Azamax,,,,azadiractina (Tetranortriterpenóide) 12g.L⁻¹
Azimut,,,,tebuconazol (triazol) 200g.L⁻¹ + azoxistrobina (estrobilurina) 120g.L⁻¹
Azoxtrobina+Ciproconazol Coonagro 280SC,,,,ciproconazol (triazol) 80g.L⁻¹ + azoxistrobina (estrobilurina) 200g.L⁻¹
Bac-Control WP,,,,Bacillus thuringiensis (biológico) 32g/kg
Bactur WP,,,,Bacillus thuringiensis (biológico) 35g/kg
Baculo-Soja,,,,Baculovirus anticarsia (biológico) 6g/kg
Baculovirus Adama,,,,Baculovirus anticarsia (biológico) 3g/g
Baculovirus Soja WP,,,,Baculovirus anticarsia (biológico) 6g/kg
Ballvéria,,,,Beauveria bassiana (biológico) 300g/kg
Bamako 700 WG,,,,imidacloprido (neonicotinóide) 700g/kg
Band,,,,flutriafol (triazol) 125g.L⁻¹
Banir,,,,bentazona (benzotiadiazinona) 480g.L⁻¹
Banole HV,,,,óleo mineral (hidrocarbonetos alifáticos) 1000g.L⁻¹
Barão,,,,fipronil (pirazol) 800g/kg
Barão,,,,fipronil (pirazol) 800g/kg
Baron,,,,triadimenol (triazol) 30g/kg + dissulfotom (organofosforado) 120g/kg
Basagran 480,,,,bentazona (benzotiadiazinona) 480g.L⁻¹
Basagran 600,,,,bentazona (benzotiadiazinona) 600g.L⁻¹
Basamid,,,,
Base 480 SL,,,,glifosato (glicina substituída) 480g.L⁻¹
Batent,,,,abamectina (avermectina) 18g.L⁻¹
Batent,,,,abamectina (avermectina) 18g.L⁻¹
Battle,,,,flutriafol (triazol) 84g.L⁻¹ + carbendazim (benzimidazol) 500g.L⁻¹
Battus,,,,acetamiprido (neonicotinóide) 200g/kg
Battus,,,,acetamiprido (neonicotinóide) 200g/kg
Bavistin,,,,carbendazim (benzimidazol) 500g.L⁻¹
Bayfidan EC,,,,triadimenol (triazol) 250g.L⁻¹
Baysiston GR,,,,triadimenol (triazol) 15g/kg + dissulfotom (organofosforado) 75g/kg
Baytan FS,,,,triadimenol (triazol) 150g.L⁻¹
Bazuka 216 SL,,,,metomil (metilcarbamato de oxima) 216g.L⁻¹ + metanol (álcool alifático) 383g.L⁻¹
BeauveControl,,,,Beauveria bassiana (biológico) 40g/kg
Beauveria JCO,,,,Beauveria bassiana (biológico) 18g/kg
Bedane,,,,pimetrozina (piridina azometina) 500g/kg
Bellis,,,,piraclostrobina (estrobilurina) 100g.L⁻¹ + Boscalida (anilida) 200g.L⁻¹
Bellkute,,,,iminoctadina (guanidina) 315g.L⁻¹
Belt,,,,FLUBENDIAMIDA (Diamida do ácido ftálico) 480g.L⁻¹
Belure,,,,fipronil (pirazol) 250g.L⁻¹
Bench,,,,simazina (triazina) 250g.L⁻¹ + atrazina (triazina) 250g.L⁻¹
Bendazol,,,,carbendazim (benzimidazol) 500g.L⁻¹
Benevia,,,,Ciantraniliprole (antranilamida) 100g.L⁻¹
Benforce,,,,
Biflex treebags,,,,bifentrina (piretróide) 1g/kg
Bim 750 BR,,,,triciclazol (benzotiazol) 750g/kg
Bimate SA,,,,tebutiurom (uréia) 200g/kg + diurom (uréia) 500g/kg
Bimetron,,,,diurom (uréia) 250g.L⁻¹ + Ametrina (triazina) 250g.L⁻¹
Bio Helicoverpa,,,,(Z)- 11- Hexadecenal (aldeído) 1g/kg
E Bio Helicoverpa,,,,(Z)- 11- Hexadecenal (aldeído) 1g/kg
Bio Neo,,,,
Bio Pseudoplusia,,,,
Biocydia,,,,codlelure (clodemônio) (álcool insaturado) 2g/kg
Bioisca,,,,Tefrósia; Anil Branco (e) 335g/kg
Biometha GR Plus,,,,Metarhizium anisopliae (biológico) 100g/kg
Bion 500 WG,,,,acibenzolar-S-metílico (benzotiadiazol) 500g/kg
Biorhizium GR,,,,Metarhizium anisopliae (biológico) 28g/kg
Biorhizium WP,,,,Metarhizium anisopliae (biológico) 930g/kg
Bistar,,,,bifentrina (piretróide) 5g/kg
Bistar UBV,,,,bifentrina (piretróide) 5g/kg
Bistar 100 EC,,,,bifentrina (piretróide) 100g.L⁻¹
Biver,,,,epoxiconazol (triazol) 125g.L⁻¹
Blast,,,,atrazina (triazina) 400g.L⁻¹
Blazer Sol,,,,Acifluorfem-sódico (éter difenílico) 170g.L⁻¹
Blitz,,,,fipronil (pirazol) 0g/kg
BMP 123 (2X WDG),,,,Bacillus thuringiensis (biológico) 400g/kg
BMP 123 (2X WP),,,,tebuconazol (triazol) 200g.L⁻¹ + Bacillus thuringiensis (biológico) 400g/kg
Boral Duo,,,,sulfentrazona (triazolona) 175g.L⁻¹ + diurom (uréia) 350g.L⁻¹
Boral 500 SC,,,,sulfentrazona (triazolona) 500g.L⁻¹
Borneo,,,,etoxazol (difenil oxazolina) 110g.L⁻¹
Botran 750,,,,diclorana (cloroaromático) 750g/kg
Bovemax EC,,,,Beauveria bassiana (biológico) 30g.L⁻¹
Boveril WP PL63,,,,Beauveria bassiana (biológico) 50g/kg
Boxer,,,,atrazina (triazina) 180g.L⁻¹ + alacloro (cloroacetanilida) 300g.L⁻¹
Brasão,,,,lambda-cialotrina (piretróide) 50g.L⁻¹
Bratt,,,,"2,4-D (ácido ariloxialcanóico) 806g.L⁻¹"
Bravonil Ultrex,,,,clorotalonil 720 825g/kg
Bravonil 500,,,,clorotalonil 720 500g.L⁻¹
Bravonil 720,,,,clorotalonil 720 720g.L⁻¹
Bravonil 750 WP,,,,clorotalonil 720 750g/kg
Brigada EC,,,,bifentrina (piretróide) 400g.L⁻¹
Brigade 100 EC,,,,bifentrina (piretróide) 100g.L⁻¹
Brigade 25 EC,,,,bifentrina (piretróide) 25g.L⁻¹
BrilhanteBR,,,,metomil (metilcarbamato de oxima) 215g.L⁻¹
Brio,,,,epoxiconazol (triazol) 125g.L⁻¹ + cresoxim-metílico (estrobilurina) 125g.L⁻¹
Brion,,,,"2,4-D (ácido ariloxialcanóico) 806g.L⁻¹"
Brisa WG,,,,clorotalonil 720 600g/kg
BritBR,,,,cipermetrina (piretróide) 250g.L⁻¹
Broker 750 WG,,,,hexazinona (triazinona) 750g/kg
Brometila,,,,brometo de metila (alifático halogenado) 980g/kg
Bromex,,,,brometo de metila (alifático halogenado) 980g/kg
Browser,,,,picloram (ácido piridinocarboxílico) 240g.L⁻¹
Brutus,,,,lambda-cialotrina (piretróide) 50g.L⁻¹
Brutus,,,,lambda-cialotrina (piretróide) 50g.L⁻¹
BTControl,,,,Bacillus thuringiensis (biológico) 70g/kg
BtControl,,,,Bacillus thuringiensis (biológico) 70g.L⁻¹
Bulldock 125 SC,,,,beta-ciflutrina (piretróide) 125g.L⁻¹
Bumper,,,,propiconazol (triazol) 250g.L⁻¹
Bunema 330 CS,,,,
Buran,,,,flutriafol (triazol) 125g.L⁻¹
Burgon,,,,propiconazol (triazol) 250g.L⁻¹ + ciproconazol (triazol) 80g.L⁻¹
Butiron,,,,tebutiurom (uréia) 500g.L⁻¹
Cabrio Top,,,,piraclostrobina (estrobilurina) 50g/kg + metiram (alquilenobis(ditiocarbamato)) 550g/kg
Calixin 86 Ol,,,,tridemorfe (morfolina) 860g.L⁻¹
Callisto,,,,Mesotriona (Tricetona) 480g.L⁻¹
Calypso,,,,tiacloprido (neonicotinóide) 480g.L⁻¹
Camp-D,,,,"picloram (ácido piridinocarboxílico) 103g.L⁻¹ + 2,4-D-trietanolamina (ácido ariloxialcanóico) 406g.L⁻¹"
Campeon,,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
Canastra,,,,trifluralina (dinitroanilina) 450g.L⁻¹
Canion,,,,hexazinona (triazinona) 900g/kg
Cantus,,,,Boscalida (anilida) 500g/kg
Caparol,,,,prometrina (triazina) 500g.L⁻¹
CapatazBR,,,,clorpirifós (organofosforado) 480g.L⁻¹
Capo WG,,,,
Caporal WP,,,,triadimenol (triazol) 250g/kg
Capri,,,,"2,4-D (ácido ariloxialcanóico) 868g.L⁻¹"
Captan Fersol 500 WP,,,,captana (dicarboximida) 500g/kg
Captan SC,,,,captana (dicarboximida) 480g.L⁻¹
Captan 200 FS,,,,captana (dicarboximida) 200g.L⁻¹
Captan 500 WP,,,,captana (dicarboximida) 500g/kg
Captan 750 TS,,,,captana (dicarboximida) 750g/kg
Captor,,,,tiodicarbe (metilcarbamato de oxima) 350g.L⁻¹
Capture 100 EC,,,,bifentrina (piretróide) 100g.L⁻¹
Capture 120 FS,,,,bifentrina (piretróide) 120g.L⁻¹
Capture 400 EC,,,,bifentrina (piretróide) 400g.L⁻¹
Captus 750 SP,,,,acefato (organofosforado) 750g/kg
Caput,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Caramba 90,,,,metconazol (triazol) 90g.L⁻¹
Carben 500 SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Carbendazim CCAB 500 SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Carbendazim Cropchem 500 SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Carbendazim Nortox,,,,carbendazim (benzimidazol) 500g.L⁻¹
Carbendazim Nortox 500 SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Carbendazim SC Cheminova,,,,carbendazim (benzimidazol) 500g.L⁻¹
Carbine 500 WG,,,,flonicamida (nicotinóide) 500g/kg
Carbomax 500 SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Carboran Fersol 350 SC,,,,carbofurano (metilcarbamato de benzofuranila) 350g.L⁻¹
Carboran Fersol 50 GR,,,,carbofurano (metilcarbamato de benzofuranila) 50g/kg
Carial,,,,mandipropamid (éter mandelamida) 250g.L⁻¹
Carial Opti,,,,mandipropamid (éter mandelamida) 40g.L⁻¹ + clorotalonil 720 400g.L⁻¹
Cartap BR 500,,,,Cloridrato de cartape (bis(tiocarbamato)) 500g/kg
CartuchoVIT,,,,
Cascade 100,,,,flufenoxurom (benzoiluréia) 100g.L⁻¹
Catcher 480 EC,,,,clorpirifós (organofosforado) 480g.L⁻¹
Cefanol,,,,acefato (organofosforado) 750g/kg
Celeiro,,,,flutriafol (triazol) 100g.L⁻¹
Celest XL,,,,fludioxonil (fenilpirrol) 25g.L⁻¹ + difenoconazol (triazol) 25g.L⁻¹
Cenit Gat,,,,clomazona (isoxazolidinona) 360g.L⁻¹
Censor,,,,fenamidona (imidazolinona) 500g.L⁻¹
Census - GAT,,,,clomazona (isoxazolidinona) 360g.L⁻¹
Centauro,,,,acefato (organofosforado) 750g/kg
Cention SC,,,,diurom (uréia) 500g.L⁻¹
Centric,,,,tiametoxam (neonicotinóide) 750g/kg
Centurion,,,,cletodim (oxima ciclohexanodiona) 240g.L⁻¹
Cercobin 500 SC,,,,
Cercobin 700 WP,,,,
Cerconil SC,,,,clorotalonil 720 350g/kg
Cerconil WP,,,,clorotalonil 720 500g/kg
Certero,,,,triflumurom (benzoiluréia) 480g.L⁻¹
Certeza,,,,fluazinam (fenilpiridinilamina) 52g.L⁻¹
Certus,,,,pirimetanil (anilinopirimidina) 150g.L⁻¹ + iprodiona (dicarboximida) 250g.L⁻¹
Cetro,,,,
Change,,,,carbendazim (benzimidazol) 500g.L⁻¹
Chess 500 WG,,,,pimetrozina (piridina azometina) 500g/kg
Cheval 480 SC,,,,metribuzim (triazinona) 480g.L⁻¹
Chopper Florestal,,,,imazapir (imidazolinona) 266g.L⁻¹
Ciclone,,,,cromafenozida (diacilhidrazina) 50g/kg
Cierto 100 GR,,,,fostiazato (organofosforado) 100g/kg
Cigaral,,,,imidacloprido (neonicotinóide) 700g/kg
Cignus,,,,fluazinam (fenilpiridinilamina) 500g.L⁻¹
Cimox WP Helm,,,,mancozebe (alquilenobis(ditiocarbamato)) 640g/kg + cimoxanil (acetamida) 80g/kg
Cipermetrin 250 EC CCAB,,,,cipermetrina (piretróide) 250g.L⁻¹
Cipermetrina Nortox 250 EC,,,,cipermetrina (piretróide) 250g.L⁻¹
Cipermetrina 200 EC,,,,cipermetrina (piretróide) 200g.L⁻¹
Cipermetrina 250 EC CCAB,,,,cipermetrina (piretróide) 250g.L⁻¹
Cipermetrina 250 EC DVA,,,,cipermetrina (piretróide) 250g.L⁻¹
Cipermetrina 250 EC DVA,,,,cipermetrina (piretróide) 250g.L⁻¹
Cipertrin,,,,cipermetrina (piretróide) 250g.L⁻¹
Classic,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Clean Rice,,,,propanil (anilida) 360g.L⁻¹
Clincher,,,,
Clipper Sinon,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Clomanex 500 EC,,,,clomazona (isoxazolidinona) 500g.L⁻¹
Clomanex 500 EC,,,,clomazona (isoxazolidinona) 500g.L⁻¹
Clomazone 500 EC FMC,,,,clomazona (isoxazolidinona) 500g.L⁻¹
Clomazone 500 EC FMC,,,,clomazona (isoxazolidinona) 500g.L⁻¹
Clomom,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Clorim,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Clorimurom Nortox,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Clorimuron CCAB 250 WG,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Clorimuron Master Nortox,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Clorimuron Prentiss,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Clorpirifós Fersol 480 EC,,,,clorpirifós (organofosforado) 480g.L⁻¹
Clorpirifos Sabero 480 EC,,,,clorpirifós (organofosforado) 480g.L⁻¹
Clorpirifós 480 EC Milenia,,,,clorpirifós (organofosforado) 480g.L⁻¹
Coact,,,,diclosulam (sulfonanilida triazolopirimidina) 840g/kg
Cobox,,,,oxicloreto de cobre (inorgânico) 840g/kg
Cobox DF,,,,oxicloreto de cobre (inorgânico) 870g/kg
Cobra,,,,lactofem (éter difenílico) 240g.L⁻¹
Cobre Atar BR,,,,Óxido Cuproso (inorgânico) 560g/kg
